cohort,consent,age,gender,country_of_birth,country_of_birth_5_TEXT,hours_work,social_media_use,rent,friends_count,stress,highest_speed,relationship_status,dates,standard_drinks,countries,drug_use_q,drug_use_ans,student_type,mainstream_advanced,semesters,commute,data_interest,mark_goal,hours_studying,lecture_mode,study_type,learner_style
2024S2,I DO NOT consent to take part in the study,,,,,,,,,,,,,,,,,,,,,,,,,,
2024S2,I consent to take part in the study,18,Female,Australia,,40,4,400,2,10,150,In a relationship,,6,,Have you ever used recreational drugs?,Yes,International,DATA1001,4,70,9,50,5,Live in the Lecture Theatre,I work steadily all semester,Style 1
2024S2,I consent to take part in the study,19,Female,Other Please Specify,,40,200,200.80,0,1,-800,Its complicated,,4.3,,Have you ever gotten high off recreational drugs?,Prefer not to say,International,DATA1901,8.3,5,4,50,25,Other,It changes depending on the subject,Style 3
2024S2,I consent to take part in the study,90,Female,Other Please Specify,somoa,38.5,2,1000,100,5,140,Its complicated,,0,,Have you ever used recreational drugs?,No,Domestic,DATA1001,0,60,7,0,10,Other,I work steadily all semester,Style 1
2024S2,I consent to take part in the study,8,Female,Australia,,10,10,500,1,7,200,In a relationship,,0,,Have you ever gotten high off recreational drugs?,Prefer not to say,Domestic,DATA1001,5,60,6,90,3,Live in the Lecture Theatre,I work steadily all semester,Style 2
2024S2,I DO NOT consent to take part in the study,,,,,,,,,,,,,,,,,,,,,,,,,,
2024S2,I consent to take part in the study,21,Female,Other Please Specify,Vietnam,0,2,378,10,3,80,Single,,0,,Have you ever gotten high off recreational drugs?,No,International,DATA1001,3,10,7,88,5,Live in the Lecture Theatre,I leave things to the last minute,Style 2
2024S2,I DO NOT consent to take part in the study,,,,,,,,,,,,,,,,,,,,,,,,,,
2024S2,I consent to take part in the study,20,Female,Australia,,1,10,0,20,10,1000,Its complicated,,7,,Have you ever used recreational drugs?,Prefer not to say,Domestic,DATA1001,3,30,5,10,1,Recording,I work steadily all semester,Style 2
2024S2,I consent to take part in the study,25,Male,Australia,,12,2,300,8,6,280,In a relationship,,12,,Have you ever used recreational drugs?,Yes,Domestic,DATA1001,15,30,10,8,9,Other,I work steadily all semester,Style 1
2024S2,I consent to take part in the study,24,Male,Australia,,7,1.5,300,20,1,170,In a relationship,,10,,Have you ever gotten high off recreational drugs?,Yes,Domestic,DATA1001,8,30,2,100,7,Live in the Lecture Theatre,I work steadily all semester,Style 2
2024S2,I DO NOT consent to take part in the study,,,,,,,,,,,,,,,,,,,,,,,,,,
2024S2,I consent to take part in the study,0,Male,China,,999,9999,1000,10,2,-1.5,In a relationship,,99,,Have you ever gotten high off recreational drugs?,No,International,DATA1001,100,100,3,0,0,Recording,I leave things to the last minute,Style 1
2024S2,I consent to take part in the study,25,Male,Australia,,0,5,130,99999999,2,140,Single,,2,,Have you ever used recreational drugs?,Yes,Domestic,DATA1001,5,80,8,100,3,Recording,I work steadily all semester,Style 3
2024S2,I consent to take part in the study,22,Female,Australia,,12,0.5,0,12,4,150,In a relationship,,0,,Have you ever gotten high off recreational drugs?,No,Domestic,DATA1001,9,55,5,99,3,Recording,I leave things to the last minute,Style 3
2024S2,I consent to take part in the study,22,Female,India,,10,20,400,0,8,400,Its complicated,,25,,Have you ever gotten high off recreational drugs?,Prefer not to say,International,DATA1001,23,300,1,3,4,Lecture Slides,It changes depending on the subject,Style 2
2024S2,I consent to take part in the study,20,Female,Other Please Specify,New Zealand,2,5,0,0,3,10,Its complicated,,20,,Have you ever gotten high off recreational drugs?,Prefer not to say,Domestic,DATA1901,60,0.5,6,90,3,Live Stream from Lecture Theatre,I work steadily all semester,Style 1
2024S2,I consent to take part in the study,22,Female,Australia,,3,6,0,0,10,120,Single,,0,,Have you ever used recreational drugs?,Yes,Domestic,DATA1901,100,360,10,77,4,Live in the Lecture Theatre,I work steadily all semester,Style 1
2024S2,I consent to take part in the study,20,Male,Australia,,30,4,0,10000,2,200,Its complicated,,99,,Have you ever used recreational drugs?,Yes,Domestic,DATA1901,5,120,10,100,60,Live in the Lecture Theatre,I work steadily all semester,Style 1
2024S2,I consent to take part in the study,20,Male,Australia,,24,5,0,10,7,120,Single,,1,,Have you ever gotten high off recreational drugs?,Prefer not to say,Domestic,DATA1001,5,9000,10,10,56,Recording,I work steadily all semester,Style 3
2024S2,I consent to take part in the study,22,Male,China,,0,6.3,540,15,7,7,In a relationship,,0,,Have you ever gotten high off recreational drugs?,No,International,DATA1001,6,10,8,90,5,Recording,I work steadily all semester,Style 1
2024S2,I consent to take part in the study,22,Male,Australia,,0,2,0,20,2,1000,In a relationship,,3.5,,Have you ever used recreational drugs?,No,Domestic,DATA1001,9.3,64.3,3,0,3,Live in the Lecture Theatre,I work steadily all semester,Style 1
2024S2,I consent to take part in the study,22,Male,Other Please Specify,NZ,20,5.3,5.5,0,6,2000,Its complicated,,0,,Have you ever used recreational drugs?,Prefer not to say,Domestic,DATA1001,4.3,4.32,8,0,0,Live in the Lecture Theatre,I work steadily all semester,Style 3
2024S2,I consent to take part in the study,16,Non-binary / third gender,China,,50,40,40,2,8,989,In a relationship,,98,,Have you ever gotten high off recreational drugs?,No,International,DATA1901,40,1,7,100,7,Live in the Lecture Theatre,I work steadily all semester,Style 3
2024S2,I consent to take part in the study,21,Female,Other Please Specify,Vietnam,5,2,366,15,3,110,Single,,0,,Have you ever used recreational drugs?,No,International,DATA1001,5,10,8,90,3,Lecture Slides,I work steadily all semester,Style 3
2024S2,I consent to take part in the study,20,Female,Other Please Specify,Singapore,0,10.15,378,5,7,100,Single,3,1,8,Have you ever used recreational drugs?,No,International,DATA1001,1,3,3,80,2,Lecture Slides,I leave things to the last minute,Style 2
2024S2,I consent to take part in the study,18,Female,Other Please Specify,Indonesia,0,3.47,549,15,2,120,Single,0,0,15,Have you ever used recreational drugs?,No,International,DATA1901,0,10,7,70,5,Live in the Lecture Theatre,I work steadily all semester,Style 3
2024S2,I consent to take part in the study,20,Female,China,,160,1.12,0,2,5,130,Its complicated,2,0,10,Have you ever gotten high off recreational drugs?,No,Domestic,DATA1001,4,75,4,85,5,Lecture Slides,I work steadily all semester,Style 3
2024S2,I consent to take part in the study,19,Male,Australia,,1,23.99,0,0,0,200,Married,50,8,0,Have you ever used recreational drugs?,Yes,Domestic,DATA1901,20.0,1,0,100,60,Lecture Slides,I leave things to the last minute,Style 3
