age,hours_work,social_media_use,rent,friends_count,highest_speed,dates,standard_drinks,countries,semesters,commute,data_interest,mark_goal,hours_studying,financial_pressure,work_study_ratio,social_engagement,gender,relationship_status,drug_use_ans,student_type,mainstream_advanced,lecture_mode,study_type,learner_style,stress_category
22.0,0.0,4.0,0.0,7.0,120.0,0.0,0.0,7.0,0.0,80.0,6.0,85.0,1.0,0.0,0.0,1.75,Male,Single,No,International,DATA1001,Recording,It changes depending on the subject,Style 2,High
19.0,2.0,1.0,0.0,100.0,150.0,0.0,2.0,20.0,1.0,5.0,1.0,80.0,2.0,0.0,1.0,33.333333333333336,Female,Single,Yes,Domestic,DATA1001,Live in the Lecture Theatre,I work steadily all semester,Style 1,Average
21.0,8.0,6.35,0.0,100.0,268.3600000000006,42.0,1.0,21.0,6.0,47.0,0.0,100.0,25.0,0.0,0.32,15.748031496062993,Male,Its complicated,No,Domestic,DATA1001,Live in the Lecture Theatre,I work steadily all semester,Style 3,High
21.0,0.0,1.5,592.0,10.0,170.0,0.0,0.0,13.0,6.0,32.0,9.0,90.0,4.0,592.0,0.0,6.666666666666667,Male,Single,No,International,DATA1001,Live in the Lecture Theatre,I work steadily all semester,Style 1,Average
20.0,9.0,0.0,0.0,0.0,110.0,20.0,0.0,3.0,0.0,60.0,8.0,90.0,2.0,0.0,4.5,0.0,Male,In a relationship,Yes,Domestic,DATA1901,Live Stream from Lecture Theatre,I work steadily all semester,Style 1,Low
19.0,30.0,4.0,300.0,50.0,60.0,60.0,6.0,10.0,2.0,20.0,3.0,75.0,2.0,10.0,15.0,12.5,Female,Single,No,International,DATA1001,Live in the Lecture Theatre,I work steadily all semester,Style 2,Average
18.0,0.0,5.0,0.0,11.0,110.0,0.0,0.0,6.0,0.0,50.0,6.0,70.0,5.0,0.0,0.0,2.2,Female,Single,No,Domestic,DATA1001,Live in the Lecture Theatre,I work steadily all semester,Style 3,Low
18.0,12.0,5.25,0.0,10.0,120.0,0.0,0.0,8.0,1.0,75.0,1.0,80.0,3.0,0.0,4.0,1.9047619047619047,Female,Single,No,Domestic,DATA1001,Recording,It changes depending on the subject,Style 2,Low
18.0,10.0,7.38,590.0,5.0,0.0,0.0,9.0,9.0,0.0,20.0,8.0,100.0,6.0,59.0,1.6666666666666667,0.6775067750677507,Female,Single,No,International,DATA1001,Live in the Lecture Theatre,I work steadily all semester,Style 1,Average
20.0,0.0,4.2,300.0,5.0,110.0,0.0,1.0,8.0,1.0,50.0,10.0,92.0,6.0,300.0,0.0,1.1904761904761905,Male,Single,No,International,DATA1001,Lecture Slides,It changes depending on the subject,Style 3,Average
19.0,10.0,3.5,270.0,0.0,120.0,2.0,0.0,1.0,1.0,90.0,8.0,80.0,3.0,27.0,3.3333333333333335,0.0,Female,Single,No,Domestic,DATA1001,Live Stream from Lecture Theatre,It changes depending on the subject,Style 1,Average
18.0,11.0,2.5,0.0,5.0,110.0,0.0,12.0,1.0,0.0,100.0,2.0,60.0,4.0,0.0,2.75,2.0,Female,Single,No,Domestic,DATA1001,Live Stream from Lecture Theatre,It changes depending on the subject,Style 3,Average
18.0,9.0,8.0,300.0,6.0,120.0,0.0,5.0,7.0,0.0,20.0,7.0,85.0,3.0,33.333333333333336,3.0,0.75,Female,Single,No,International,DATA1001,Live in the Lecture Theatre,I work steadily all semester,Style 2,High
19.0,4.0,2.45,700.0,5.0,0.0,0.0,2.0,5.0,0.0,20.0,6.0,90.0,2.0,175.0,2.0,2.0408163265306123,Female,Single,No,International,DATA1001,Live in the Lecture Theatre,It changes depending on the subject,Style 3,Average
19.0,0.0,2.8,0.0,3.0,110.0,0.0,0.0,6.0,3.0,50.0,3.0,85.0,2.0,0.0,0.0,1.0714285714285714,Female,Single,No,Domestic,DATA1001,Recording,It changes depending on the subject,Style 3,High
25.0,0.0,6.5,1000.0,2.0,60.0,0.0,0.0,3.0,0.0,120.0,4.0,60.0,5.0,1000.0,0.0,0.3076923076923077,Female,Single,No,Domestic,DATA1001,Recording,I work steadily all semester,Style 1,Average
19.0,42.0,7.0,760.0,1.0,140.0,1.0,0.0,5.0,4.0,20.0,7.0,90.0,7.0,18.095238095238095,6.0,0.14285714285714285,Female,Single,No,International,DATA1001,Live Stream from Lecture Theatre,I work steadily all semester,Style 3,Average
18.0,0.0,6.75,0.0,10.0,110.0,0.0,4.0,5.0,0.0,50.0,8.0,75.0,4.0,0.0,0.0,1.4814814814814814,Female,Single,No,Domestic,DATA1001,Live in the Lecture Theatre,I work steadily all semester,Style 1,Average
21.0,6.0,12.0,600.0,10.0,110.0,10.0,3.0,5.0,1.0,40.0,7.0,60.0,2.0,100.0,3.0,0.8333333333333334,Female,In a relationship,No,International,DATA1001,Recording,It changes depending on the subject,Style 1,Average
18.0,5.0,20.0,650.0,4.0,0.0,10.0,2.0,8.0,0.0,15.0,6.0,5.0,5.0,130.0,1.0,0.2,Female,Single,No,International,DATA1001,Recording,I leave things to the last minute,Style 1,Average
18.0,0.0,5.25,450.0,12.0,120.0,6.0,0.0,8.0,0.0,10.0,3.0,100.0,10.0,450.0,0.0,2.2857142857142856,Female,In a relationship,No,International,DATA1001,Live in the Lecture Theatre,I work steadily all semester,Style 3,Average
18.0,11.0,6.36,0.0,5.0,120.0,0.0,0.0,10.0,0.0,25.0,6.0,80.0,4.0,0.0,2.75,0.7861635220125786,Female,Single,No,Domestic,DATA1001,Lecture Slides,It changes depending on the subject,Style 2,High
28.0,5.0,0.5,0.0,0.0,130.0,0.0,0.0,20.0,6.0,60.0,3.0,80.0,5.0,0.0,1.0,0.0,Female,In a relationship,No,Domestic,DATA1001,Recording,I work steadily all semester,Style 1,Average
20.0,0.0,8.0,830.0,2.0,120.0,6.0,3.0,5.0,0.0,15.0,5.0,85.0,3.0,830.0,0.0,0.25,Male,Single,No,International,DATA1001,Recording,It changes depending on the subject,Style 2,Average
